Antonym,Derived word,ex_japa,example,japanese,level,No,part of speech,Synonym,word,unique id
,,教授は授業初日にシラバスを提供した。,The professor provided the syllabus on the first day of class.,シラバス,3,256,名詞,"curriculum, course outline",syllabus,1752129509709x127509328976240780
mismatch,"suitable, suitably, lawsuit",彼は結婚式にスーツを着て行った。,He wore a suit to the wedding.,スーツ、適合する,2,260,"名詞, 動詞","outfit, fit, match",suit,1752129509709x248049595457756830
,"symbolize, symbolic",鳩は平和の象徴だ。,The dove is a symbol of peace.,シンボル,4,259,名詞,"emblem, sign",symbol,1752129509709x250914181977377920
"market, bazaar",,私たちは午後をショッピングモールで過ごした。,We spent the afternoon at the mall.,ショッピングモール,1,255,名詞,"shopping center, plaza",mall,1752129509709x277575691987235200
,series's,私は1日でシリーズ全体を見た。,I watched the entire series in a day.,シリーズ、連続,3,257,名詞,"sequence, succession, chain",series,1752129509709x357335343591106000
solution,dilemmas,彼女は道徳的なジレンマに直面していた。,She was facing a moral dilemma.,ジレンマ,7,258,名詞,"quandary, predicament, impasse",dilemma,1752129509709x678112382827926000
"comfort, please","shocked, shocking",彼の死のニュースは皆にとって大きなショックだった。,The news of his death was a big shock to everyone.,ショック、衝撃,3,254,"名詞, 動詞","surprise, stun",shock,1752129509709x842409655592421400
"trousers, pants","skirted, skirting",彼女は青いスカートを着ている。,She is wearing a blue skirt.,スカート,1,261,名詞,"kilt, sarong",skirt,1752129509710x405910924986370800
reality,"screenshot, screening",その映画は大スクリーンで上映される。,The movie will be shown on the big screen.,スクリーン,2,268,名詞,"monitor, display",screen,1752129509711x292386118673551500
"reluctantly, grudgingly",readiness,私はすぐにその提案を受け入れた。,I readily accepted the offer.,すぐに,5,267,副詞,"easily, willingly",readily,1752129509711x331591853598748540
,"scroller, scrolling",さらに情報を見るためにスクロールしてください。,Scroll down to see more information.,スクロール,2,269,動詞,"roll, flip",scroll,1752129509711x509502364475942200
"finished work, masterpiece","sketchy, sketchbook",彼女は風景の素早いスケッチをした。,She made a quick sketch of the landscape.,スケッチ,4,270,"名詞, 動詞","drawing, outline, draft",sketch,1752129509711x588359042146698400
"later, eventually",immediate,すぐに来てください。,Please come immediately.,すぐに,3,266,副詞,"instantly, right away, promptly",immediately,1752129509711x589758554998544900
"walk, run","skiing, skier",私は毎冬スキーをする。,I ski every winter.,スキー,1,262,"名詞, 動詞","slide, glide",ski,1752129509711x594950891753378600
"attend, do","skipper, skipping",つまらない部分はスキップして、良い部分に進みましょう。,Let's skip the boring parts and get to the good stuff.,スキップする,2,263,動詞,"miss, bypass",skip,1752129509711x705226166339921900
"ignore, overlook",scanner,医者は異常を探すために患者の脳をスキャンした。,The doctor scanned the patient's brain for abnormalities.,スキャンする、詳しく見る,3,264,"名詞, 動詞","examine, inspect",scan,1752129509711x729081226034289400
"later,long,delay","sooner,soonest",すぐにあなたに会う。,I will see you soon.,すぐに,1,265,副詞,"shortly,quickly,early,promptly",soon,1752129509711x818125899566958500
"audience, crowd","staging, stagehand",バンドはメインステージで演奏する。,The band will perform on the main stage.,ステージ、段階,2,275,名詞,"platform, phase, step",stage,1752129509713x156615416868047580
"open, outside, outdoor","studious, study",彼女は映画スタジオで働いている。,She works in a film studio.,スタジオ,3,273,名詞,"workroom, workshop, atelier",studio,1752129509713x729797683346848000
"miss, fail","striker, striking",労働者たちはより良い賃金のためにストライキを決定した。,The workers decided to strike for better pay.,ストライキ,6,276,動詞,"hit, impact, knock",strike,1752129509713x737457789775299000
"boss, management","staffer, staffed",私たちのスタッフは、優れたカスタマーサービスを提供することに専念している。,Our staff is dedicated to providing excellent customer service.,スタッフ,3,274,名詞,"employees, crew, personnel",staff,1752129509713x767524428732644000
"relaxation, ease","stressful, stress-free",ストレスはあなたの健康に深刻な影響を及ぼすことがある。,Stress can have serious effects on your health.,ストレス,2,277,"名詞, 動詞","pressure, strain",stress,1752129509713x814237984210811000
,"stylish, stylist, stylize",彼女は独特の歌唱スタイルを持っている。,She has a unique style of singing.,スタイル,2,272,名詞,"fashion, mode, manner",style,1752129509713x931831493908493000
"awful, terrible, poor","superly, superer",彼は車を修理するのがすごい仕事をした。,He did a super job fixing the car.,すごい,3,271,形容詞,"excellent, fantastic, great",super,1752129509713x980672954624995200
listener,"speakerphone, loudspeaker",スピーカーは部屋の向こうまで聞こえるほど大きかった。,The speaker was loud enough to be heard across the room.,スピーカー,2,279,名詞,"talker, orator",speaker,1752129509714x483251136727589100
,,彼には一つ問題がある、すなわちお金がないことだ。,"He has one problem, namely that he has no money.",すなわち,9,278,副詞,"specifically, that is to say",namely,1752129509714x946172072791437300
"silence, quiet","speaker, speechless",彼女のスピーチは非常に感動的だった。,Her speech was very inspiring.,スピーチ、話,4,280,名詞,"talk, address, discourse",speech,1752129509714x994546945710522800
,sprayer,彼女は手首に香水をスプレーした。,She sprayed perfume on her wrist.,スプレー,2,281,"名詞, 動詞","mist, squirt, sprinkle",spray,1752129510381x760874533639127800
should not,,試験に備えて一生懸命勉強すべきだ。,You should study hard for the test.,すべきである,1,282,助動詞,ought to,should,1752129510382x899736776218474900
"nobody, none",everybody's,全員がパーティーに招待されている。,Everybody is invited to the party.,すべての人,2,283,代名詞,"all, everyone",everybody,1752129510383x148829103687959870
"work, chore","sportsman, sporty",私は友達とスポーツをするのが大好きだ。,I love playing sport with my friends.,スポーツ,2,284,名詞,"game, athletics, recreation",sport,1752129510383x280896965247287460
undo,"does, did, done, doing",私は毎日宿題をする。,I do my homework every day.,する,1,289,動詞,"perform, execute",do,1752129510383x386164829907683400
"opponent, detractor","sponsorship, sponsored",その会社はイベントのスポンサーになることに同意した。,The company agreed to sponsor the event.,スポンサー,7,285,"名詞, 動詞","backer, supporter",sponsor,1752129510383x732099992506166400
"stick, climb","slider, slippery",子供たちは冬に丘をスライドするのが大好きだ。,The kids love to slide down the hill in winter.,スライドする,1,287,動詞,"glide, slip, skid",slide,1752129510383x941078745667613600
,slasher,日、月、年を区切るためにスラッシュを使用する。,"Use a slash to separate the day, month, and year.",スラッシュ,2,288,名詞,"cut, gash",slash,1752129510383x951567408276076300
,"sponsor, sponsored",そのイベントは地元企業のスポンサーにより実現した。,The event was made possible through the sponsorship of local businesses.,スポンサー,5,286,名詞,"backing, support, funding",sponsorship,1752129510383x977744820904667100
"withhold, take","renderer, rendering",その事故で車は役立たずになった。,The accident rendered the car useless.,〜にする、〜させる,9,290,動詞,"make, provide, give",render,1752129510385x474183071474032700
"similarly, likewise",,私はパーティーに行くつもりだった、しかし他の用事があった。,"I would have gone to the party, but I was otherwise engaged.",そうでなければ,3,298,副詞,"alternatively, else",otherwise,1752129510387x230272512509035480
,"centime, centavo",彼は通りでセントを見つけた。,He found a cent on the street.,セント（米国の通貨単位）,2,297,名詞,penny,cent,1752129510387x349861133900730050
,,デジタルマーケティングについてのセミナーに参加した。,I attended a seminar on digital marketing.,セミナー,5,295,名詞,"workshop, lecture, conference",seminar,1752129510387x470693194886464800
unset,"setter, setting",私はアラームを午前6時にセットした。,I set the alarm for 6 a.m.,セットする,1,294,動詞,"fix, establish",set,1752129510387x485477144694079550
"break, intermission",sessional,その会議では、さまざまなトピックについていくつかのセッションが行われる。,The conference will have several sessions on different topics.,セッション、会合,6,293,名詞,"meeting, gathering, assembly",session,1752129510387x714986789372518400
 ,"zoned, zoning",これは駐車禁止区域だ。,This is a no-parking zone.,ゾーン,3,299,名詞,"area, region",zone,1752129510387x737229094284479900
,"coughing, coughed",彼女はひどい咳をしている。,She has a bad cough.,せき,1,292,"名詞, 動詞",hack,cough,1752129510387x745913571475870500
"one, maximum, all","zeroed, zeroing, zeros",私はテストでゼロ点を取った。,I got zero points on the test.,ゼロ,1,296,名詞,"nil, nothing, null",zero,1752129510387x788820362546630800
"solid, block, closure",slot,カードをスロットに挿入してください。,Please insert the card into the slot.,スロット,3,291,名詞,"opening, hole, gap",slot,1752129510387x934752348740895500
"here, not there, elsewhere","thereafter, thereby, thereupon",テーブルの上に本がある。,There is a book on the table.,そこに,1,300,副詞,"here, over there, in that place",there,1752129510388x251800414719977500
,,昨晩、その映画を見た。,I saw the movie last night.,その,1,302,冠詞/限定詞,,the,1752129510393x371345730663085000
"but, however",,ピザとソーダを注文した。,I ordered a pizza and a soda.,そして,1,301,接続詞,"also, plus",and,1752129510393x411015585877411840
"other, different",suchlike,私は以前にこんなに美しい夕日を見たことがありません。,I have never seen such a beautiful sunset before.,そのような,2,303,形容詞,"so, this kind of",such,1752129510393x954400987588700500
"nevertheless, nonetheless",,私は勉強以外にもやるべきことがある。,I have other things to do besides studying.,その上、さらに,3,310,副詞,"additionally, moreover",besides,1752129510394x285846768182196800
"previously, before",subsequence,彼はアメリカに移住し、その後ビジネスを始めた。,He moved to the United States and subsequently started a business.,その後,6,307,副詞,"later, afterwards, thereafter",subsequently,1752129510394x364048882915391360
"prior, preceding",subsequently,その後の出来事は予想外でした。,The subsequent events were unexpected.,その後の,7,308,形容詞,"following, succeeding",subsequent,1752129510394x550934240640383200
"before, prior",afterwards,彼は寝床についてすぐに眠りに落ちた。,He went to bed and fell asleep immediately afterward.,その後,3,306,副詞,"later, subsequently, then",afterward,1752129510394x690891024422944600
,,彼は遅れ、その結果電車に乗り遅れた。,He was late and consequently missed the train.,その結果,7,305,副詞,"therefore, hence, thus",consequently,1752129510394x698461501833747700
"now, currently, before","then and there, by then",その時私は東京に住んでいた。,I was living in Tokyo then.,その時、それならば、その次に,1,309,副詞,"afterwards, next, subsequently",then,1752129510394x721284795840337000
,,私が夕食の準備を始めるので、その間にテーブルをセットしてもらえるか？,"I'll start cooking dinner; meanwhile, could you set the table?",その間に,3,304,副詞,"meanwhile, in the meantime",meanwhile,1752129510394x982174672267356500
,,他に何が欲しいのだか？,What else do you want?,その他の,2,311,副詞,"additionally, moreover, furthermore",else,1752129510397x158385883096628480
this,,それは私の車だ。,That is my car.,それ,1,315,代名詞,those,that,1752129510397x319577770127984500
,,雨が降っている。,It is raining.,それ,1,314,代名詞,,it,1752129510397x397864874506778100
"away from, distant",,彼女は兄のそばに立っていた。,She was standing alongside her brother.,そばに、並んで,5,312,前置詞,"beside, next to, parallel to",alongside,1752129510397x540275447672363260
hardware,"software engineer, software development",そのソフトウェアは更新が必要だ。,The software needs to be updated.,ソフトウェア,5,313,名詞,"program, application, system",software,1752129510397x591932321571611000
"therefore, consequently",,雨が降っていたが、それにもかかわらず彼は傘なしで出かけた。,"It was raining, nevertheless, he went out without an umbrella.",それにもかかわらず,9,318,副詞,"however, nonetheless",nevertheless,1752129510398x231736872168859740
"consequently, hence",,ハイキングは難しかったが、それでも彼らは楽しんだ。,"The hike was challenging, nonetheless, they enjoyed it.",それにもかかわらず,9,319,副詞,"nevertheless, however",nonetheless,1752129510398x667137804365824800
"collectively, jointly","respect, respective",彼らはそれぞれ一位と二位になりた。,"They came first and second, respectively.",それぞれ,7,317,副詞,"separately, individually",respectively,1752129510398x792857022096116200
,,彼はハンドルを回し、それによってドアを開けた。,"He turned the handle, thereby opening the door.",それによって,9,320,副詞,"thus, consequently, hence",thereby,1752129510398x817511231090427400
all,each other,私たちそれぞれにはユニークな才能がある。,Each of us has a unique talent.,それぞれ,2,316,代名詞,"every, individual",each,1752129510398x908210380275264500
"static, lethargic","dynamically, dynamism",彼女はチームを鼓舞するダイナミックなリーダーだ。,She is a dynamic leader who inspires her team.,ダイナミックな、活気のある,6,328,形容詞,"energetic, vigorous, powerful",dynamic,1752129510874x199209427046083140
"single, one",,彼は市場から卵をダース買った。,He bought a dozen eggs from the market.,ダース,2,325,"名詞, 形容詞","twelve, multitude",dozen,1752129510874x220489535252947230
"loose, slack","tightness, tightly",彼女のジーンズはとてもタイトだった。,Her jeans were very tight.,タイトな,2,326,形容詞,"snug, close-fitting",tight,1752129510874x313166587413958200
"henceforth, henceforward",hence,彼は病気だった、それゆえにパーティーに来ることができなかった。,"He was ill, and hence he could not come to the party.",それゆえに,9,322,副詞,"therefore, thus",hence,1752129510874x595480877567768900
,titular,この本のタイトルは何だか？,What's the title of this book?,タイトル、称号,2,327,名詞,"name, heading, caption",title,1752129510874x663319677854433700
,,都市自体は大きくない。,The city itself is not large.,それ自体,1,323,代名詞,,itself,1752129510874x664969145772606000
,"typist, typology",どんなタイプの音楽が好きだか？,What type of music do you like?,タイプ,2,329,"名詞, 動詞","kind, category, sort",type,1752129510874x676576162696448400
,"targeted, targeting",会社は売上を10％増加させる目標を設定した。,The company set a target of increasing sales by 10%.,ターゲット,4,324,名詞,"aim, goal, objective",target,1752129510874x835137419777563800
,,彼は私たちが問題を解決できる方法を考案した。,He devised a method whereby we could solve the problem.,それにより,9,321,副詞,"by which, through which",whereby,1752129510874x859331799416622300
"but, however, despite","so-so, so far, so long",彼はとても疲れていたので、ほとんど立つことができませんでした。,He was so tired that he could hardly stand.,だから、それほど,1,330,副詞,"therefore, thus, so much",so,1752129510875x701949855534226700
"importantly, significantly",mereness,彼はただの教師ではなく、作家でもある。,"He is not merely a teacher, but also a writer.","ただ, 単に",7,335,副詞,"just, only, simply",merely,1752129510876x661403025263602700
"lack, shortage","plentiful, plentitude",パーティーには食べ物がたくさんある。,There is plenty of food at the party.,たくさん,2,332,形容詞,"abundant, ample",plenty,1752129510876x720127732726190160
"a little, few",muchness,このプロジェクトを終えるのにあまり時間がありません。,I don't have much time to finish this project.,たくさんの,1,333,"形容詞, 副詞","a lot of, many",much,1752129510876x769849082415382300
,"taxicab, taxi driver, taximeter",彼は空港に行くためにタクシーを呼び止めた。,He hailed a taxi to get to the airport.,タクシー,1,334,名詞,cab,taxi,1752129510876x848520762409820200
little,lottery,私はたくさんの本を持っている。,I have a lot of books.,たくさん,2,331,名詞,"plenty, multitude",lot,1752129510876x986602552452816800
,,タバコを吸うことは健康に悪影響だ。,Smoking a cigarette is harmful to your health.,タバコ,1,337,名詞,"smoke, tobacco",cigarette,1752129510877x261308718815165300
"honest, truthful","deception, deceptive, deceptively",それが簡単だと思い込むことを自分自身を騙さないでください。,Don't deceive yourself into thinking it's easy.,だます,5,338,動詞,"mislead, betray, trick",deceive,1752129510877x367410936999631040
"multiple, many, several","only-begotten, only-child",彼女は私が信頼する唯一の人だ。,She is the only person I trust.,ただ一つ、唯一,1,336,"形容詞, 副詞","sole, exclusive, unique",only,1752129510877x466874221357442800
"proceed, continue, rush","hesitated, hesitating, hesitates",質問するのをためらわないで。,Don't hesitate to ask questions.,ためらう,4,340,動詞,"waver, falter, delay",hesitate,1752129510877x940759624621354600
"disadvantage, detriment, harm",sakes,我が子のために、今すぐ行動しなければなりません。,"For the sake of our children, we must act now.",ため,4,339,名詞,"benefit, good, interest",sake,1752129510877x979833908704330600
"carbohydrate, fat","protean, proteome",卵は良いタンパク質の源だ。,Eggs are a good source of protein.,タンパク質,6,344,名詞,,protein,1752129510881x158858973924763680
,,私はコンサートのチケットを買った。,I bought a ticket for the concert.,チケット,1,348,名詞,"pass, voucher",ticket,1752129510881x216889531716322850
"individual, opponent","teammate, teamwork",私たちのチームは競争に勝ちた。,Our team won the competition.,チーム,1,346,名詞,"group, crew",team,1752129510881x223701202555282040
,cheesy,私はチーズをつけてクラッカーを食べるのが好きだ。,I like to eat crackers with cheese.,チーズ,1,345,名詞,,cheese,1752129510881x249515677927376600
"none, no one",,最初に到着した人が賞を得る。,Whoever arrives first will get the prize.,だれでも,5,342,代名詞,"anyone, any person, whosoever",whoever,1752129510881x271114907181101860
nobody,,誰かいる？,Is anybody there?,だれでも,2,341,代名詞,"anyone, somebody",anybody,1752129510881x398770079812008400
"silence, quiet","chatty, chatroom",友達と楽しいチャットをした。,I had a nice chat with my friend.,チャット,2,350,名詞,"talk, conversation, discussion",chat,1752129510881x440077269808327300
,,彼はチェスをするのがとてもうまいだ。,He is a master at playing chess.,チェス,1,347,名詞,,chess,1752129510881x441228562582967740
whole,"chipped, chipping",ガラスに欠けている部分があった。,There was a chip in the glass.,チップ、欠片,3,349,名詞,"fragment, piece, bit",chip,1752129510881x549822619032711800
,,水タンクはいっぱいだ。,The water tank is full.,タンク,2,343,名詞,"reservoir, container",tank,1752129510881x769929516318448500
"impossibility, certainty","chanceful, chancy",明日は雨が降る可能性が高いだ。,There's a good chance of rain tomorrow.,チャンス、可能性,2,351,"名詞, 動詞","opportunity, likelihood, possibility",chance,1752129510884x829638474004389600
,"tourist, tourism, touristic",私たちは古代遺跡のツアーに参加した。,We went on a tour of the ancient ruins.,ツアー,4,357,名詞,"trip, excursion, journey",tour,1752129510885x126430137566802660
,"channelize, channeler",ニュースを見るためにチャンネルを変えてください。,Change the channel to watch the news.,チャンネル、経路,5,352,名詞,"station, pathway",channel,1752129510885x218638805730346760
stare,glancing,彼女は時計をちらりと見て、遅れていることに気づいた。,She glanced at her watch and realized she was late.,ちらりと見る,4,356,動詞,"peek, glimpse, skim",glance,1752129510885x236957735702387550
"not just, more than","justly, justice",私はちょうど宿題を終えた。,I have just finished my homework.,ちょうど、ただ,2,354,副詞,"only, merely, simply",just,1752129510885x452751391847661760
"loser, defeated",championship,彼はボクシングの世界チャンピオンだ。,He is the world champion in boxing.,チャンピオン,5,353,名詞,"winner, victor",champion,1752129510885x519122997820252300
"release, let go","grasping, grasped",私はその理論の概念を理解しようとしていた。,I was trying to grasp the concept of the theory.,つかむ、理解する,6,360,動詞,"grip, comprehend",grasp,1752129510885x660752613192605200
"release, let go","grabber, grabbing",彼は両手でチャンスをつかみた。,He grabbed the opportunity with both hands.,つかむ,2,359,動詞,"grip, seize, snatch",grab,1752129510885x673563734305788300
"lead, precede","follower, following",心の声に従いなさい。,Follow your heart.,ついていく、追う,1,358,動詞,"pursue, chase, trail",follow,1752129510885x677702628791164500
,"chocolatier, chocolatey",彼女はチョコレートを食べるのが大好きだ。,She loves eating chocolate.,チョコレート,1,355,名詞,"candy, sweet",chocolate,1752129510885x757789995048829600
,"databasing, databased",データベースにはすべての製品に関する情報が含まれている。,The database contains information about all the products.,データベース,5,366,名詞,"data bank, datastore, repository",database,1752129511568x138662413717482780
"separate, disconnect","splicer, splicing",これら2つのワイヤーをつなぎ合わせる必要がある。,We need to splice these two wires together.,つなぎ合わせる,6,362,動詞,"join, connect",splice,1752129511568x206843521847728700
,"database, data-driven, dataset",確定的な決定を下すためにはもっとデータが必要だ。,We need more data to make a conclusive decision.,データ,6,365,名詞,"information, facts, statistics",data,1752129511568x222683642042461600
"buyer, customer, purchaser",dealership,彼はアンティーク家具のディーラーだ。,He is a dealer in antique furniture.,ディーラー,6,363,名詞,"merchant, trader, retailer",dealer,1752129511568x275469523287281020
,"tablecloth, tabletop",その本はテーブルの上にある。,The book is on the table.,テーブル,1,368,名詞,"desk, countertop, bench",table,1752129511568x566920194122118460
,"spelling, speller, spellbound",あなたの名前をつづってもらえるか？,"Can you spell your name, please?",つづる,2,361,動詞,"write, name, read",spell,1752129511568x666976307297749500
,"diskette, hard disk",ディスクをドライブに挿入してください。,Please insert the disk into the drive.,ディスク,3,364,名詞,"disc, plate, circle",disk,1752129511568x720489953653039600
,"tape-record, tape-measure",この箱を修理するためにテープが必要だ。,I need a tape to fix this box.,テープ,1,367,名詞,"strip, band",tape,1752129511568x956169239582139000
,thematic,その会議のテーマは持続可能性だ。,The theme of the conference is sustainability.,テーマ,2,369,名詞,"topic, subject, motif",theme,1752129511569x267334596061287400
,"texting, texted",彼女からテキストメッセージを受け取った。,I received a text message from her.,テキスト,3,370,名詞,"script, manuscript",text,1752129511569x682519970418855600
"analog, manual",digitally,私たちはデジタル時代に生きている。,We live in a digital age.,デジタルの,2,374,形容詞,"electronic, binary",digital,1752129511571x258078279005907300
"able, capable, competent","unableness, inability",私はタスクを時間内に完了することができませんでした。,I was unable to complete the task on time.,できない,2,371,形容詞,"incapable, powerless, helpless",unable,1752129511571x282515640632705180
,"design, designed",彼女は有名なファッションデザイナーだ。,She is a famous fashion designer.,デザイナー,4,373,名詞,"creator, artist, stylist",designer,1752129511571x305464095585514100
,"tech-savvy, tech-related",テクノロジー企業が株式市場を牽引している。,Tech companies are leading the stock market.,テクノロジー,3,372,名詞,"technology, high-tech, IT",tech,1752129511571x532018302569611260
,,彼女はテニスのスキルを向上させるために一生懸命練習している。,She is practicing hard to improve her tennis skills.,テニス,1,376,名詞,,tennis,1752129511571x635131219049252000
,"demonstrate, demonstrative",彼らは政府に対するデモを行いた。,They held a demonstration against the government.,デモ,6,377,名詞,"protest, rally, show",demonstration,1752129511571x822567253482578800
,"tester, testing",来週のテストのために勉強しなければなりません。,I have to study for the test next week.,テスト,1,375,"名詞, 動詞","exam, trial",test,1752129511571x987949006626322600
,"demonstrate, demonstration",デモ参加者は政府に抗議していた。,The demonstrator was protesting against the government.,デモ参加者,7,378,名詞,"protester, activist, marcher",demonstrator,1752129511572x128793821745387890
,,ナイル川は地中海に流れ込むところでデルタを形成する。,The Nile River forms a delta where it flows into the Mediterranean Sea.,デルタ,6,379,名詞,,delta,1752129511572x541174348853889150
,"televise, televised",私はテレビでニュースを見た。,I watched the news on television.,テレビ,2,380,名詞,"TV, box, tube",television,1752129511572x982514300362911700
"here, in this place",,ここで探しているものが見つからなければ、他の場所で試してみてください。,"If you can't find what you're looking for here, try elsewhere.",どこかほかの所で,6,385,副詞,"somewhere else, in other places",elsewhere,1752129511575x208524029423077920
"pacifist, peacemaker, diplomat","terrorism, terrorize",テロ攻撃は市内にパニックを引き起こした。,The terrorist attack caused panic in the city.,テロリスト,7,381,名詞,"extremist, insurgent, radical",terrorist,1752129511575x330821329969915200
,"tent pole, tent peg",私たちは森でキャンプするためにテントを設営した。,We set up a tent for camping in the woods.,テント,2,382,名詞,"canopy, marquee",tent,1752129511575x596241249088879500
,,サッカーのトーナメントは来週開始する。,The soccer tournament starts next week.,トーナメント、大会,4,383,名詞,"championship, contest, competition",tournament,1752129511575x728506739449557500
nowhere,,私はどこかに鍵を置き忘れたに違いない。,I must have left my keys somewhere.,どこかに,2,384,副詞,"someplace, somewhere else",somewhere,1752129511575x845584866889114900
,"whereabouts, wherein",最寄りの駅はどこだか？,Where is the nearest station?,どこに、どこで,1,389,副詞,,where,1752129511576x223921542534938100
everywhere,,行く場所がどこにもありません。,I have nowhere to go.,どこにも〜ない,2,390,副詞,,nowhere,1752129511576x264095084255689500
nowhere,,どこへ行っても美しさを見つけることができる。,You can find beauty wherever you go.,どこでも,3,388,副詞,"anywhere, everywhere",wherever,1752129511576x344691192514376500
"nowhere, not anywhere","every, where",あなたの顔がどこにでも見える。,I see your face everywhere.,どこでも,1,387,副詞,"all over, throughout, ubiquitously",everywhere,1752129511576x415649551353578300
nowhere,,これらの花は世界中のどこでも見つけることができる。,You can find these flowers anywhere in the world.,どこでも,2,386,副詞,"everywhere, all over",anywhere,1752129511576x476034233704900600
,,彼は教師として働いている。,He works as a teacher.,として、同様に,1,391,前置詞,"like, in the role of",as,1752129511578x209390265194915550
,,彼には賛成できないけど、とにかくやるつもりだ。,"I don't agree with him, but I will do it anyway.",とにかく,4,396,副詞,"nonetheless, nevertheless, regardless",anyway,1752129511578x242146233504191070
tiny,tremendously,経済はとてつもない成長を遂げている。,There has been tremendous growth in the economy.,とてつもない,7,395,形容詞,"enormous, huge",tremendous,1752129511578x267782341858401540
,,この機械の使い方を教えていただけるか？,Could you show me how to use this machine?,どのように,1,397,副詞,"in what way, to what extent",how,1752129511578x393913640479830900
neither,,バスでも電車でもどちらでも乗ることができる。,You can take either the bus or the train.,"どちらか, または, どちらでもない",2,392,"形容詞, 副詞, 接続詞","any, one or the other",either,1752129511578x560911159615412160
"both, either",neither...nor,どちらの選択肢も受け入れられません。,Neither option is acceptable.,どちらもない,4,394,"副詞, 接続詞, 代名詞","none, not either",neither,1752129511578x677984216846424000
,,どちらを選んでも、間違いはありません。,"Whichever you choose, you can't go wrong.",どちらでも,2,393,代名詞,"either, any",whichever,1752129511578x942384754913715500
"comedy, farce, peace","dramatic, dramatize, dramatist",彼女はテレビのドラマを見るのが大好きだ。,She loves to watch drama on television.,ドラマ,2,400,名詞,"play, show, performance",drama,1752129511579x299230841210550000
,traumatic,彼は事故後に心理的なトラウマを受けた。,He suffered a psychological trauma after the accident.,トラウマ,6,398,名詞,"shock, distress",trauma,1752129511579x711601726247684100
,truckload,トラックには家具が積まれている。,The truck is loaded with furniture.,トラック,1,399,名詞,"lorry, vehicle, van",truck,1752129511579x753108986754629600
"none, either, neither","whichever, whichever way, whatever",どの本がお好みだか？,Which book do you prefer?,どれ,1,402,代名詞,"what, whichever, that",which,1752129512108x155571570411443540
,,その価格は5ドルだ。,The price is five dollars.,ドル,2,401,名詞,,dollar,1752129512108x480937069290592600
undress,"dresser, dressing",彼女はパーティーに美しいドレスを着てきた。,She wore a beautiful dress to the party.,ドレス,1,403,名詞,"gown, frock",dress,1752129512108x534743063155326900
"some, all","nonentity, nonexistence",あなたのために残っているものはありません。,There are none left for you.,なし,3,406,代名詞,"nil, zero",none,1752129512108x900107718583611500
,,その船は1トンの貨物を運べる。,The ship can carry a ton of cargo.,トン（重量単位）,3,404,名詞,,ton,1752129512108x991230304757489500
,knifelike,彼は鋭いナイフで果物を切った。,He cut the fruit with a sharp knife.,ナイフ,1,405,名詞,"blade, cutter",knife,1752129512108x994111602826796300
"although, despite",because of,金曜日なので幸せだ。,I'm happy because it's Friday.,なぜなら,2,409,接続詞,"since, as, for",because,1752129512109x136752010893965940
"internationalism, cosmopolitanism","nationalist, nationalistic",その国でのナショナリズムの台頭は、大きな政治的変化を引き起こした。,The rise of nationalism in the country led to major political changes.,ナショナリズム、国家主義,8,407,名詞,"patriotism, jingoism",nationalism,1752129512109x264103134586298530
,,なぜあなたは笑っているのだか？,Why are you laughing?,なぜ,1,408,副詞,"for what reason, how come",why,1752129512109x389277007054625400
,"sodium chloride, sodium bicarbonate",ナトリウムは体にとって必要な栄養素だが、過剰摂取は有害だ。,"Sodium is an essential nutrient for the body, but too much can be harmful.",ナトリウム,4,410,名詞,,sodium,1752129512109x755299151873140200
,"newscast, newsreader",私は毎朝ニュースを見る。,I watch the news every morning.,ニュース,2,412,名詞,"report, information",news,1752129512112x271099685567474980
,"tie-up, tie-breaker",彼は面接に青いネクタイを着用した。,He wore a blue tie to the interview.,"ネクタイ, 結ぶ",3,416,名詞,"bond, link, connection",tie,1752129512112x440864458203797700
non-neuronal cell,"neuronal, neurology",ニューロンは他の神経細胞に情報を伝える。,Neurons transmit information to other nerve cells.,ニューロン,9,413,名詞,"nerve cell, neurocyte",neuron,1752129512112x486779596480092500
"straighten, untwist","twisted, twisting",彼女はサッカーをしている時に足首をねじりた。,She twisted her ankle while playing soccer.,ねじる,2,417,動詞,"turn, coil",twist,1752129512112x536907226230939600
"frown, scowl","grinning, grinny",彼は彼女の冗談にニッコリ笑いた。,He grinned at her joke.,ニッコリ笑う,3,411,"名詞, 動詞","smile, beam",grin,1752129512112x562366414915234100
"for, in favor of",against,彼はその提案に反対票を投じた。,He voted against the proposal.,に対して,4,415,前置詞,"opposite, counter to",against,1752129512112x724550851961938200
,,この本は有名な作家によって書かれた。,This book was written by a famous author.,によって,1,414,前置詞,"through, from",by,1752129512112x841224543112266000
,,彼女は私の友人だ。,She's a friend of mine.,の,1,420,前置詞,,of,1752129512113x595907566152589800
,ratlike,地下室でネズミを見た。,I saw a rat in the cellar.,ネズミ,2,418,名詞,,rat,1752129512113x681036394072442000
,"networking, networked",私は大きな友人ネットワークを築いている。,I have built a large network of friends.,ネットワーク,4,419,名詞,"system, web, grid",network,1752129512113x800247779101001200
,nodal,ネットワーク内の各ノードは他のすべてのノードに接続されている。,Each node in the network is connected to every other node.,"ノード, 節点",9,421,名詞,"junction, point",node,1752129512114x376179294999694500
